reviewId,itemId,rating
1,8,10
2,54,6.3
3,83,5.9
4,49,3.2
5,97,7.2
6,7,5.9
7,80,4
8,12,4
9,84,7
10,85,2.6
11,87,3.6
12,100,4
13,36,9.2
14,13,0.4
15,56,8
16,37,6
17,15,1.7
18,27,2.6
19,25,8.8
20,63,4.5
21,50,4.3
22,71,1.7
23,65,7.2
24,24,5.9
25,9,8
26,50,0.2
27,3,8.5
28,59,2.6
29,4,0.2
30,34,0
31,23,1.7
32,52,3
33,26,6.4
34,65,4.3
35,61,1.4
36,76,3.2
37,53,5.1
38,83,0.4
39,71,0.4
40,38,9.5
41,1,8.8
42,8,8.8
43,49,3.2
44,22,4.3
45,42,4
46,98,1.7
47,46,9.2
48,77,8.5
49,23,7.6
50,50,0
51,50,0
52,25,8.5
53,66,1.7
54,81,8.5
55,11,4.3
56,25,1.4
57,9,4.5
58,8,0.2
59,87,6.4
60,63,5.1
61,78,3.6
62,79,1.4
63,22,5
64,76,5
65,24,5
66,99,8.5
67,30,8
68,70,7.2
69,98,4.5
70,73,8.5
71,42,0.4
72,75,1.4
73,90,5.9
74,10,4.3
75,35,9.2
76,83,2.6
77,92,4
78,6,3.6
79,48,0.2
80,6,7.6
81,20,4
82,50,6.4
83,99,0.4
84,48,8
85,19,9
86,23,7
87,67,3
88,20,1
89,91,9.2
90,41,2
91,29,7.2
92,90,2
93,70,1
94,95,2.8
95,2,2.8
96,23,6.4
97,65,0.4
98,28,5
99,64,9.2
100,15,4.3
